,stopid,stopname,geometry
1407,357638.0,Hoover St & 59th Pl (Southbound),POINT (-118.28709125500006 33.98641317600008)
90,357638.0,Hoover St & 59th Pl (Southbound),POINT (-118.28709125500006 33.98641317600008)
89,357626.0,Slauson Ave & Hoover St (Eastbound),POINT (-118.28728437400008 33.989063040000104)
1406,357626.0,Slauson Ave & Hoover St (Eastbound),POINT (-118.28728437400008 33.989063040000104)
1276,305980.0,Slauson & Hoover St. (CCW),POINT (-118.28733533600006 33.98907416000006)
1277,305981.0,Slauson & Figueroa St. (CCW),POINT (-118.28292042000008 33.98908305500007)
1444,358030.0,Vermont Ave & Slauson Ave (Southbound),POINT (-118.2916013900001 33.9888284140001)
88,357616.0,Slauson Ave & Vermont Ave (Eastbound),POINT (-118.29093083700008 33.98904524800005)
1405,357616.0,Slauson Ave & Vermont Ave (Eastbound),POINT (-118.29093083700008 33.98904524800005)
1275,305979.0,Slauson & Vermont Ave. (CCW),POINT (-118.29102873800008 33.989055256000064)
139,356385.0,Slauson Ave & Vermont Ave (Westbound),POINT (-118.29122588000006 33.989183132000086)
1260,305963.0,Vermont & Slauson Ave. (CW),POINT (-118.29142838700005 33.9892921050001)
87,355954.0,54th St & Vermont Ave (Eastbound),POINT (-118.29170331400007 33.99315943500008)
140,356401.0,54th St & Vermont Ave (Westbound),POINT (-118.29183608300008 33.9932528360001)
1261,305964.0,Vermont & 54th St. (CW),POINT (-118.29143375200009 33.99330620800007)
1274,305978.0,Vermont & 53rd St. (CCW),POINT (-118.29155981500008 33.9939755780001)
1278,305982.0,Slauson & Broadway (CCW),POINT (-118.27906608600007 33.9891141900001)
1259,305962.0,Slauson & Hoover St. (CW),POINT (-118.2868659500001 33.98919870000006)
1258,305961.0,Slauson & Figueroa St. (CW),POINT (-118.28241348300008 33.9892053720001)
1257,305960.0,Slauson & Broadway (CW),POINT (-118.27807903300011 33.98922316300011)
1230,305933.0,Vernon & Figueroa St. (CW),POINT (-118.28228205400006 34.003713082000075)
1231,305934.0,Vernon & Broadway (CW),POINT (-118.2789346580001 34.00373531800009)
1304,306008.0,Vernon & Figueroa St. (CCW),POINT (-118.28245908000007 34.00379757700009)
1303,306007.0,Vernon & Broadway (CCW),POINT (-118.27806830400009 34.003844272000066)
1229,305932.0,Figueroa & 42nd St. (CW),POINT (-118.28279972100005 34.0071817570001)
1305,306009.0,Figueroa & 42nd St. (CCW),POINT (-118.2826468350001 34.007259578000095)
1262,305965.0,Vermont & 51st St. (CW),POINT (-118.2914552090001 33.99627051800011)
1273,305977.0,Vermont & 51st St. (CCW),POINT (-118.29156786200008 33.996690806000096)
1272,305976.0,Vermont & 48th St. (CCW),POINT (-118.29156518000006 33.99934368500008)
1263,305966.0,Vermont & 48th St. (CW),POINT (-118.29148471400009 33.999830667000055)
1271,305975.0,Vermont & 46th St. (CCW),POINT (-118.29158932000007 34.0013961070001)
1264,305967.0,Vermont & 46th St. (CW),POINT (-118.29148203100009 34.00176522600007)
1270,305460.0,Vermont & Vernon Ave.,POINT (-118.29160809500007 34.003853166000084)
